"Partners","Sex"
"001","F"
"001","F"
"005","F"
"002","F"
"002","F"
"000","F"
"004","F"
"030","F"
"003","F"
"005","F"
"001","F"
"002","F"
"002","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"003","F"
"005","F"
"004","F"
"001","F"
"006","F"
"012","F"
"001","F"
"001","F"
"008","F"
"003","F"
"001","F"
"001","F"
"003","F"
"003","F"
"006","F"
"005","F"
"012","F"
"003","F"
"002","F"
"001","F"
"003","F"
"008","F"
"001","F"
"001","F"
"003","F"
"001","F"
"001","F"
"001","F"
"002","F"
"002","F"
"010","F"
"002","F"
"001","F"
"001","F"
"001","F"
"002","F"
"001","F"
"004","F"
"002","F"
"003","F"
"000","F"
"001","F"
"002","F"
"000","F"
"001","F"
"004","F"
"025","F"
"002","F"
"001","F"
"000","F"
"001","F"
"002","F"
"001","F"
"002","F"
"000","F"
"003","F"
"001","F"
"007","F"
"001","F"
"001","F"
"000","F"
"005","F"
"003","F"
"001","F"
"000","F"
"020","F"
"006","F"
"005","F"
"002","F"
"010","F"
"000","F"
"002","F"
"003","F"
"004","F"
"001","F"
"001","F"
"001","F"
"001","F"
"005","F"
"100","F"
"001","F"
"000","F"
"001","F"
"001","F"
"001","F"
"012","F"
"001","F"
"001","F"
"015","F"
"000","F"
"002","F"
"001","F"
"001","F"
"004","F"
"015","F"
"001","F"
"002","F"
"001","F"
"001","F"
"004","F"
"001","F"
"001","F"
"001","F"
"001","F"
"000","F"
"002","F"
"001","F"
"001","F"
"000","F"
"001","F"
"001","F"
"001","F"
"002","F"
"001","F"
"001","F"
"012","F"
"002","F"
"002","F"
"001","F"
"006","F"
"007","F"
"001","F"
"003","F"
"000","F"
"005","F"
"015","F"
"006","F"
"045","F"
"002","F"
"001","F"
"002","F"
"002","F"
"010","F"
"001","F"
"003","F"
"002","F"
"005","F"
"001","F"
"001","F"
"004","F"
"002","F"
"002","F"
"000","F"
"001","F"
"007","F"
"006","F"
"030","F"
"002","F"
"001","F"
"000","F"
"001","F"
"000","F"
"000","F"
"001","F"
"000","F"
"003","F"
"020","F"
"001","F"
"001","F"
"001","F"
"001","F"
"003","F"
"001","F"
"000","F"
"001","F"
"001","F"
"001","F"
"000","F"
"006","F"
"001","F"
"003","F"
"005","F"
"000","F"
"020","F"
"001","F"
"003","F"
"001","F"
"001","F"
"015","F"
"001","F"
"012","F"
"001","F"
"000","F"
"005","F"
"001","F"
"001","F"
"001","F"
"002","F"
"005","F"
"002","F"
"010","F"
"002","F"
"002","F"
"003","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"003","F"
"000","F"
"001","F"
"001","F"
"001","F"
"003","F"
"001","F"
"003","F"
"001","F"
"001","F"
"001","F"
"003","F"
"001","F"
"001","F"
"001","F"
"005","F"
"000","F"
"004","F"
"001","F"
"002","F"
"003","F"
"008","F"
"001","F"
"001","F"
"003","F"
"001","F"
"001","F"
"001","F"
"002","F"
"001","F"
"004","F"
"020","F"
"001","F"
"001","F"
"001","F"
"030","F"
"000","F"
"003","F"
"006","F"
"005","F"
"002","F"
"003","F"
"003","F"
"001","F"
"020","F"
"003","F"
"001","F"
"002","F"
"001","F"
"015","F"
"001","F"
"001","F"
"008","F"
"001","F"
"001","F"
"001","F"
"002","F"
"001","F"
"004","F"
"001","F"
"004","F"
"010","F"
"003","F"
"004","F"
"000","F"
"001","F"
"001","F"
"004","F"
"001","F"
"002","F"
"002","F"
"001","F"
"001","F"
"001","F"
"002","F"
"045","F"
"000","F"
"000","F"
"001","F"
"003","F"
"025","F"
"001","F"
"001","F"
"000","F"
"004","F"
"001","F"
"004","F"
"002","F"
"000","F"
"003","F"
"001","F"
"001","F"
"001","F"
"007","F"
"001","F"
"006","F"
"004","F"
"001","F"
"003","F"
"001","F"
"010","F"
"004","F"
"003","F"
"001","F"
"002","F"
"010","F"
"003","F"
"001","F"
"004","F"
"005","F"
"001","F"
"004","F"
"000","F"
"005","F"
"002","F"
"001","F"
"001","F"
"003","F"
"000","F"
"001","F"
"007","F"
"000","F"
"001","F"
"001","F"
"001","F"
"003","F"
"004","F"
"005","F"
"004","F"
"008","F"
"000","F"
"001","F"
"001","F"
"000","F"
"001","F"
"001","F"
"002","F"
"001","F"
"001","F"
"020","F"
"010","F"
"010","F"
"002","F"
"001","F"
"001","F"
"035","F"
"002","F"
"004","F"
"001","F"
"002","F"
"010","F"
"001","F"
"001","F"
"001","F"
"002","F"
"004","F"
"002","F"
"002","F"
"001","F"
"001","F"
"003","F"
"003","F"
"000","F"
"002","F"
"001","F"
"020","F"
"001","F"
"001","F"
"040","F"
"001","F"
"002","F"
"015","F"
"001","F"
"001","F"
"000","F"
"001","F"
"001","F"
"002","F"
"000","F"
"005","F"
"001","F"
"002","F"
"001","F"
"001","F"
"001","F"
"030","F"
"001","F"
"006","F"
"015","F"
"001","F"
"003","F"
"004","F"
"002","F"
"004","F"
"004","F"
"001","F"
"010","F"
"002","F"
"006","F"
"001","F"
"012","F"
"010","F"
"005","F"
"004","F"
"003","F"
"003","F"
"000","F"
"003","F"
"000","F"
"008","F"
"006","F"
"005","F"
"002","F"
"001","F"
"001","F"
"002","F"
"020","F"
"002","F"
"001","F"
"002","F"
"000","F"
"005","F"
"000","F"
"007","F"
"000","F"
"000","F"
"001","F"
"000","F"
"004","F"
"001","F"
"001","F"
"002","F"
"002","F"
"030","F"
"002","F"
"000","F"
"006","F"
"020","F"
"003","F"
"004","F"
"010","F"
"001","F"
"001","F"
"003","F"
"001","F"
"020","F"
"004","F"
"020","F"
"001","F"
"001","F"
"010","F"
"001","F"
"001","F"
"000","F"
"001","F"
"003","F"
"002","F"
"005","F"
"003","F"
"010","F"
"002","F"
"003","F"
"002","F"
"003","F"
"001","F"
"010","F"
"000","F"
"001","F"
"003","F"
"001","F"
"001","F"
"001","F"
"004","F"
"001","F"
"002","F"
"001","F"
"000","F"
"003","F"
"003","F"
"001","F"
"000","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"000","F"
"001","F"
"002","F"
"000","F"
"002","F"
"001","F"
"003","F"
"001","F"
"001","F"
"001","F"
"003","F"
"005","F"
"005","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"000","F"
"001","F"
"001","F"
"004","F"
"001","F"
"003","F"
"001","F"
"001","F"
"000","F"
"002","F"
"003","F"
"002","F"
"010","F"
"009","F"
"001","F"
"005","F"
"001","F"
"001","F"
"006","F"
"002","F"
"001","F"
"006","F"
"002","F"
"000","F"
"001","F"
"002","F"
"005","F"
"001","F"
"001","F"
"002","F"
"001","F"
"010","F"
"010","F"
"000","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"002","F"
"002","F"
"001","F"
"008","F"
"004","F"
"002","F"
"001","F"
"004","F"
"001","F"
"001","F"
"020","F"
"000","F"
"001","F"
"000","F"
"001","F"
"003","F"
"001","F"
"001","F"
"001","F"
"004","F"
"001","F"
"004","F"
"001","F"
"003","F"
"004","F"
"005","F"
"009","F"
"000","F"
"005","F"
"003","F"
"007","F"
"001","F"
"002","F"
"001","F"
"001","F"
"000","F"
"004","F"
"007","F"
"000","F"
"003","F"
"001","F"
"004","F"
"000","F"
"001","F"
"010","F"
"016","F"
"004","F"
"001","F"
"001","F"
"000","F"
"001","F"
"001","F"
"002","F"
"001","F"
"008","F"
"008","F"
"000","F"
"002","F"
"003","F"
"002","F"
"001","F"
"001","F"
"008","F"
"001","F"
"002","F"
"002","F"
"001","F"
"001","F"
"001","F"
"002","F"
"001","F"
"007","F"
"001","F"
"002","F"
"035","F"
"005","F"
"050","F"
"002","F"
"000","F"
"004","F"
"001","F"
"002","F"
"002","F"
"006","F"
"003","F"
"000","F"
"001","F"
"002","F"
"001","F"
"000","F"
"008","F"
"001","F"
"003","F"
"002","F"
"000","F"
"000","F"
"005","F"
"001","F"
"007","F"
"001","F"
"006","F"
"001","F"
"001","F"
"001","F"
"000","F"
"001","F"
"002","F"
"005","F"
"001","F"
"002","F"
"002","F"
"003","F"
"010","F"
"001","F"
"001","F"
"001","F"
"002","F"
"010","F"
"000","F"
"001","F"
"001","F"
"003","F"
"001","F"
"001","F"
"003","F"
"002","F"
"001","F"
"001","F"
"005","F"
"001","F"
"004","F"
"001","F"
"000","F"
"000","F"
"003","F"
"004","F"
"003","F"
"000","F"
"001","F"
"005","F"
"001","F"
"006","F"
"001","F"
"000","F"
"005","F"
"007","F"
"001","F"
"004","F"
"001","F"
"001","F"
"005","F"
"001","F"
"001","F"
"001","F"
"001","F"
"000","F"
"002","F"
"003","F"
"008","F"
"003","F"
"002","F"
"004","F"
"010","F"
"020","F"
"001","F"
"001","F"
"003","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"000","F"
"020","F"
"002","F"
"001","F"
"000","F"
"001","F"
"001","F"
"010","F"
"000","F"
"001","F"
"004","F"
"004","F"
"001","F"
"002","F"
"001","F"
"002","F"
"003","F"
"055","F"
"000","F"
"001","F"
"001","F"
"003","F"
"003","F"
"001","F"
"003","F"
"001","F"
"001","F"
"001","F"
"001","F"
"006","F"
"002","F"
"001","F"
"001","F"
"008","F"
"004","F"
"000","F"
"001","F"
"001","F"
"002","F"
"001","F"
"006","F"
"002","F"
"001","F"
"003","F"
"000","F"
"001","F"
"001","F"
"005","F"
"001","F"
"000","F"
"007","F"
"001","F"
"001","F"
"001","F"
"001","F"
"004","F"
"001","F"
"045","F"
"001","F"
"001","F"
"003","F"
"002","F"
"015","F"
"010","F"
"001","F"
"001","F"
"001","F"
"001","F"
"002","F"
"002","F"
"003","F"
"001","F"
"002","F"
"001","F"
"002","F"
"001","F"
"000","F"
"001","F"
"001","F"
"002","F"
"001","F"
"001","F"
"002","F"
"001","F"
"001","F"
"002","F"
"001","F"
"003","F"
"005","F"
"001","F"
"002","F"
"004","F"
"008","F"
"002","F"
"002","F"
"001","F"
"010","F"
"012","F"
"001","F"
"000","F"
"001","F"
"004","F"
"000","F"
"000","F"
"002","F"
"001","F"
"002","F"
"002","F"
"001","F"
"002","F"
"001","F"
"001","F"
"003","F"
"030","F"
"003","F"
"000","F"
"001","F"
"002","F"
"005","F"
"002","F"
"001","F"
"001","F"
"005","F"
"002","F"
"009","F"
"000","F"
"001","F"
"004","F"
"003","F"
"020","F"
"001","F"
"006","F"
"005","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"015","F"
"001","F"
"004","F"
"007","F"
"004","F"
"002","F"
"001","F"
"001","F"
"001","F"
"003","F"
"001","F"
"001","F"
"001","F"
"000","F"
"000","F"
"006","F"
"001","F"
"001","F"
"001","F"
"001","F"
"002","F"
"001","F"
"001","F"
"001","F"
"000","F"
"002","F"
"001","F"
"003","F"
"001","F"
"001","F"
"001","F"
"003","F"
"001","F"
"000","F"
"001","F"
"001","F"
"001","F"
"002","F"
"001","F"
"005","F"
"004","F"
"004","F"
"006","F"
"003","F"
"002","F"
"015","F"
"003","F"
"000","F"
"003","F"
"000","F"
"000","F"
"002","F"
"002","F"
"006","F"
"004","F"
"001","F"
"000","F"
"006","F"
"010","F"
"003","F"
"004","F"
"001","F"
"001","F"
"001","F"
"000","F"
"000","F"
"001","F"
"003","F"
"002","F"
"001","F"
"012","F"
"001","F"
"001","F"
"005","F"
"001","F"
"006","F"
"003","F"
"001","F"
"003","F"
"003","F"
"001","F"
"001","F"
"015","F"
"001","F"
"001","F"
"003","F"
"001","F"
"010","F"
"003","F"
"030","F"
"001","F"
"001","F"
"006","F"
"001","F"
"001","F"
"001","F"
"001","F"
"002","F"
"001","F"
"001","F"
"003","F"
"002","F"
"001","F"
"006","F"
"002","F"
"004","F"
"003","F"
"002","F"
"004","F"
"001","F"
"003","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"003","F"
"003","F"
"002","F"
"030","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"003","F"
"000","F"
"004","F"
"035","F"
"001","F"
"007","F"
"001","F"
"001","F"
"003","F"
"005","F"
"005","F"
"005","F"
"025","F"
"012","F"
"001","F"
"000","F"
"006","F"
"003","F"
"001","F"
"006","F"
"001","F"
"001","F"
"000","F"
"001","F"
"001","F"
"000","F"
"003","F"
"001","F"
"002","F"
"004","F"
"001","F"
"001","F"
"003","F"
"003","F"
"001","F"
"015","F"
"000","F"
"003","F"
"002","F"
"010","F"
"001","F"
"010","F"
"003","F"
"007","F"
"001","F"
"001","F"
"000","F"
"003","F"
"002","F"
"002","F"
"002","F"
"001","F"
"000","F"
"002","F"
"003","F"
"003","F"
"001","F"
"002","F"
"005","F"
"010","F"
"003","F"
"001","F"
"003","F"
"001","F"
"003","F"
"004","F"
"006","F"
"001","F"
"000","F"
"004","F"
"001","F"
"001","F"
"002","F"
"015","F"
"001","F"
"001","F"
"002","F"
"001","F"
"005","F"
"006","F"
"001","F"
"001","F"
"001","F"
"000","F"
"001","F"
"002","F"
"001","F"
"002","F"
"003","F"
"002","F"
"006","F"
"001","F"
"006","F"
"001","F"
"008","F"
"001","F"
"003","F"
"004","F"
"000","F"
"001","F"
"001","F"
"003","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"005","F"
"001","F"
"000","F"
"003","F"
"000","F"
"000","F"
"001","F"
"002","F"
"001","F"
"002","F"
"023","F"
"003","F"
"001","F"
"001","F"
"001","F"
"002","F"
"005","F"
"001","F"
"010","F"
"000","F"
"001","F"
"002","F"
"001","F"
"002","F"
"001","F"
"015","F"
"016","F"
"000","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"000","F"
"002","F"
"001","F"
"000","F"
"001","F"
"001","F"
"001","F"
"002","F"
"003","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"005","F"
"001","F"
"003","F"
"003","F"
"010","F"
"003","F"
"001","F"
"003","F"
"003","F"
"001","F"
"002","F"
"001","F"
"001","F"
"001","F"
"001","F"
"000","F"
"000","F"
"003","F"
"000","F"
"020","F"
"020","F"
"015","F"
"001","F"
"005","F"
"001","F"
"015","F"
"003","F"
"002","F"
"000","F"
"003","F"
"001","F"
"001","F"
"004","F"
"000","F"
"001","F"
"001","F"
"001","F"
"100","F"
"001","F"
"001","F"
"001","F"
"005","F"
"001","F"
"002","F"
"000","F"
"030","F"
"001","F"
"000","F"
"001","F"
"001","F"
"002","F"
"012","F"
"003","F"
"003","F"
"001","F"
"000","F"
"001","F"
"000","F"
"001","F"
"002","F"
"002","F"
"000","F"
"003","F"
"001","F"
"001","F"
"003","F"
"010","F"
"015","F"
"000","F"
"005","F"
"001","F"
"001","F"
"004","F"
"001","F"
"001","F"
"001","F"
"012","F"
"001","F"
"003","F"
"001","F"
"015","F"
"001","F"
"002","F"
"001","F"
"000","F"
"001","F"
"000","F"
"001","F"
"001","F"
"001","F"
"001","F"
"006","F"
"001","F"
"001","F"
"001","F"
"002","F"
"001","F"
"002","F"
"001","F"
"003","F"
"006","F"
"001","F"
"001","F"
"002","F"
"004","F"
"003","F"
"001","F"
"006","F"
"001","F"
"007","F"
"006","F"
"002","F"
"020","F"
"001","F"
"007","F"
"003","F"
"000","F"
"001","F"
"002","F"
"001","F"
"001","F"
"005","F"
"001","F"
"025","F"
"002","F"
"001","F"
"000","F"
"004","F"
"003","F"
"010","F"
"005","F"
"001","F"
"001","F"
"001","F"
"008","F"
"010","F"
"000","F"
"000","F"
"000","F"
"002","F"
"001","F"
"000","F"
"002","F"
"001","F"
"001","F"
"005","F"
"001","F"
"001","F"
"001","F"
"001","F"
"005","F"
"010","F"
"001","F"
"002","F"
"001","F"
"002","F"
"001","F"
"001","F"
"001","F"
"001","F"
"003","F"
"000","F"
"004","F"
"001","F"
"001","F"
"002","F"
"002","F"
"001","F"
"002","F"
"001","F"
"001","F"
"005","F"
"002","F"
"001","F"
"001","F"
"001","F"
"001","F"
"005","F"
"001","F"
"003","F"
"000","F"
"000","F"
"000","F"
"008","F"
"000","F"
"002","F"
"001","F"
"002","F"
"003","F"
"004","F"
"002","F"
"002","F"
"002","F"
"005","F"
"001","F"
"003","F"
"008","F"
"015","F"
"001","F"
"005","F"
"003","F"
"000","F"
"001","F"
"001","F"
"003","F"
"006","F"
"001","F"
"002","F"
"003","F"
"003","F"
"001","F"
"001","F"
"001","F"
"004","F"
"001","F"
"010","F"
"002","F"
"005","F"
"001","F"
"002","F"
"002","F"
"002","F"
"003","F"
"002","F"
"001","F"
"002","F"
"003","F"
"001","F"
"002","F"
"001","F"
"001","F"
"008","F"
"001","F"
"000","F"
"001","F"
"000","F"
"003","F"
"001","F"
"001","F"
"007","F"
"001","F"
"002","F"
"035","F"
"005","F"
"002","F"
"001","F"
"004","F"
"006","F"
"001","F"
"006","F"
"001","F"
"001","F"
"002","F"
"001","F"
"000","F"
"015","F"
"007","F"
"002","F"
"004","F"
"000","F"
"003","F"
"008","F"
"001","F"
"001","F"
"003","F"
"003","F"
"004","F"
"001","F"
"003","F"
"003","F"
"001","F"
"001","F"
"001","F"
"002","F"
"003","F"
"012","F"
"001","F"
"001","F"
"001","F"
"001","F"
"002","F"
"001","F"
"002","F"
"002","F"
"004","F"
"003","F"
"001","F"
"001","F"
"001","F"
"004","F"
"025","F"
"001","F"
"003","F"
"002","F"
"007","F"
"001","F"
"001","F"
"001","F"
"001","F"
"002","F"
"002","F"
"002","F"
"002","F"
"001","F"
"010","F"
"001","F"
"001","F"
"003","F"
"001","F"
"007","F"
"001","F"
"002","F"
"007","F"
"001","F"
"008","F"
"000","F"
"001","F"
"001","F"
"000","F"
"003","F"
"001","F"
"006","F"
"003","F"
"003","F"
"001","F"
"001","F"
"003","F"
"001","F"
"001","F"
"003","F"
"002","F"
"015","F"
"002","F"
"001","F"
"001","F"
"006","F"
"004","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"001","F"
"005","F"
"006","F"
"015","F"
"003","F"
"020","F"
"001","F"
"001","F"
"003","F"
"004","F"
"003","F"
"004","F"
"002","F"
"001","F"
"001","F"
"002","F"
"001","F"
"002","F"
"000","F"
"002","F"
"001","F"
"001","F"
"003","F"
"001","F"
"001","F"
"005","F"
"001","F"
"002","F"
"003","F"
"001","F"
"000","F"
"002","F"
"002","F"
"007","F"
"001","F"
"001","F"
"040","F"
"000","F"
"002","F"
"002","F"
"004","F"
"002","F"
"001","F"
"004","F"
"003","F"
"000","F"
"006","F"
"001","F"
"002","F"
"001","F"
"003","F"
"004","F"
"020","F"
"004","F"
"002","F"
"002","F"
"010","F"
"001","F"
"012","F"
"002","F"
"002","F"
"001","F"
"001","F"
"001","F"
"008","F"
"003","F"
"001","F"
"001","F"
"006","F"
"002","F"
"001","F"
"001","F"
"001","F"
"000","F"
"001","F"
"001","F"
"002","F"
"001","F"
"003","F"
"005","F"
"015","F"
"001","F"
"003","F"
"001","F"
"001","F"
"000","F"
"001","F"
"001","F"
"005","F"
"003","F"
"001","F"
"001","F"
"004","F"
"001","F"
"000","F"
"007","F"
"003","F"
"001","F"
"000","F"
"000","F"
"001","F"
"001","F"
"020","F"
"020","F"
"003","F"
"001","F"
"001","F"
"002","F"
"015","F"
"004","F"
"008","F"
"001","F"
"012","F"
"000","F"
"003","F"
"019","F"
"004","F"
"001","F"
"001","F"
"003","F"
"002","F"
"002","F"
"001","F"
"003","F"
"001","F"
"006","F"
"001","F"
"005","F"
"001","F"
"002","F"
"015","F"
"012","F"
"000","F"
"005","F"
"000","F"
"005","F"
"002","F"
"001","F"
"001","F"
"001","F"
"003","F"
"001","F"
"001","F"
"002","F"
"003","F"
"000","F"
"001","F"
"003","F"
"001","F"
"001","F"
"005","F"
"015","F"
"000","F"
"000","F"
"001","F"
"001","F"
"001","F"
"001","F"
"003","F"
"005","F"
"001","F"
"001","F"
"001","F"
"001","F"
"023","F"
"005","F"
"001","F"
"001","F"
"003","F"
"004","F"
"003","F"
"002","F"
"001","F"
"001","F"
"000","F"
"001","F"
"004","F"
"001","F"
"001","F"
"001","F"
"003","F"
"001","F"
"001","F"
"005","F"
"004","F"
"002","F"
"001","F"
"009","F"
"002","F"
"001","F"
"001","F"
"003","F"
"001","F"
"002","F"
"003","F"
"001","F"
"001","F"
"002","F"
"002","F"
"001","F"
"005","F"
"002","F"
"001","F"
"004","F"
"008","F"
"001","F"
"000","F"
"001","F"
"005","F"
"001","F"
"002","F"
"006","F"
"010","F"
"010","F"
"001","F"
"015","F"
"004","F"
"001","F"
"000","F"
"001","F"
"003","F"
"001","F"
"003","F"
"004","F"
"005","F"
"001","F"
"008","F"
"001","F"
"001","F"
"002","F"
"000","F"
"003","F"
"020","F"
"001","F"
"005","F"
"001","F"
"005","F"
"002","F"
"003","F"
"000","F"
"001","F"
"001","F"
"000","F"
"000","F"
"006","F"
"001","F"
"003","F"
"001","F"
"001","F"
"002","F"
"001","F"
"001","F"
"001","F"
"002","F"
"002","F"
"001","F"
"012","F"
"000","F"
"000","F"
"003","F"
"000","F"
